id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3614.84,11834542759,15,11834542759,21285985,3868.58,3327.96,-234.9371517000386,-6.10261,-715622246.3618164,-5.70209,3264282.435660961,3264282.435660961,,5330.78,-32.26199,2025-08-24T19:27:46.809Z,1501.6,140.47428,2025-04-09T03:57:40.245Z,,2025-11-05T15:01:39.632Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,52.5,11274660086,16,16865472262,236784123,52.98,50.57,-0.4573252432741981,-0.86354,3664049448.0,48.14396,214772248.0,321272248.0,400000000.0,55.41,-5.64159,2025-11-03T00:23:20.146Z,3.06,1607.79404,2023-02-13T19:01:21.899Z,,2025-11-05T15:01:39.632Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,41.27,11178485883,17,41276803111,1093027735,41.57,35.9,2.37,6.09239,638148438.0,6.05435,270772999.4341414,999835210.4341414,1000000000.0,59.3,-31.01452,2025-09-18T03:30:30.650Z,3.81,974.13245,2024-11-29T09:30:30.871Z,,2025-11-05T15:01:39.653Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,14.93,10419323829,18,14952033108,1453338590,15.37,13.93,-0.34091795620957654,-2.23282,-219752221.44275665,-2.06552,696849970.4525868,1000000000.0,1000000000.0,52.7,-71.65667,2021-05-10T00:13:57.214Z,0.148183,9979.39735,2017-11-29T00:00:00.000Z,,2025-11-05T15:01:40.025Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,488.29,9760922113,19,9760922113,318624377,506.31,462.79,-16.56863107843617,-3.28185,-299598072.69439125,-2.97796,19948843.64665078,19948843.64665078,21000000.0,3785.82,-87.08024,2017-12-20T00:00:00.000Z,76.93,535.75774,2018-12-16T00:00:00.000Z,,2025-11-05T15:01:39.806Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.998582,9328537473,20,9328537473,95046776,1.002,0.997917,-0.000905310687749683,-0.09058,-166526407.21393204,-1.75382,9341720442.280235,9341720442.280235,,1.057,-5.41526,2024-10-29T05:40:51.197Z,0.948265,5.46264,2024-10-03T13:19:28.826Z,,2025-11-05T15:01:39.690Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999355,9000900513,21,9000900513,458537041,1.001,0.993838,-0.000525903963938923,-0.0526,-121875666.14879417,-1.33595,9006982124.63884,9006982124.63884,,1.032,-3.21186,2023-12-20T15:38:34.596Z,0.929486,7.47156,2024-10-04T07:57:15.809Z,,2025-11-05T15:01:39.776Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,8981589218,22,8981589218,4127625353,1.006,0.994539,-0.000110227127544826,-0.01102,12987298.0,0.14481,8984993193.453934,8984993193.453934,,1.05,-4.76294,2024-08-05T14:21:42.527Z,0.942186,6.13107,2024-12-05T22:30:39.827Z,,2025-11-05T15:01:40.371Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.278019,8929844958,23,13918711828,362330970,0.279329,0.256129,0.00037133,0.13374,26308702.0,0.29549,32079707523.34863,50001786884.67245,50001786884.67245,0.875563,-68.22135,2018-01-03T00:00:00.000Z,0.00047612,58339.07539,2015-03-05T00:00:00.000Z,,2025-11-05T15:01:39.853Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3612.08,8855848633,24,8855848661,57188358,3857.29,3335.09,-222.05980984358303,-5.79164,-548529212.3264122,-5.8327,2443926.225289934,2443926.233030495,,5296.78,-31.75807,2025-08-24T19:25:19.771Z,1505.24,140.13691,2025-04-09T03:45:31.391Z,,2025-11-05T15:01:39.737Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.5,8760583873,25,9358261823,904797,9.57,9.43,-0.03549725523758873,-0.37216,-24169708.709953308,-0.27513,922315860.9,985239504.0,,10.14,-5.9324,2025-03-10T09:26:43.294Z,0.799859,1091.94154,2019-12-24T15:14:35.376Z,,2025-11-05T15:01:39.720Z
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,465.2,7598022187,26,7598683589,1617772157,464.77,386.53,45.85,10.93416,718402726.0,10.44248,16370037.6655448,16371462.6655448,21000000.0,3191.93,-85.41352,2016-10-29T00:00:00.000Z,16.08,2795.43781,2024-07-05T04:22:29.321Z,,2025-11-05T15:01:39.799Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,103134.0,7580436791,27,7580436791,770761897,104546.0,98848.0,-1126.660815948213,-1.08062,27544330.0,0.36469,73506.40761849,73506.40761849,,125954.0,-18.02541,2025-10-06T18:58:50.734Z,57439.0,79.75687,2024-09-12T14:07:41.775Z,,2025-11-05T15:01:39.971Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.03,7499228557,28,20371001145,2094131643,2.07,1.87,-0.03570806650587466,-1.72768,-101921944.84356785,-1.34088,3681325480.198332,10000000000.0,10000000000.0,5.35,-61.97847,2025-01-04T22:56:18.063Z,0.364846,457.17897,2023-10-19T10:40:30.078Z,,2025-11-05T15:01:40.273Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.173167,7360019200,29,8663895655,450352640,0.176116,0.160089,-0.002703695016749302,-1.53732,-108274071.10417843,-1.44978,42475229924.35708,50000000000.0,50000000000.0,0.569229,-69.56511,2021-09-15T10:40:28.318Z,0.00986111,1656.84261,2020-01-02T17:30:24.852Z,,2025-11-05T15:01:39.814Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3347.77,7298628997,30,7288659086,814742905,3566.87,3114.15,-203.8607921967673,-5.73992,-608682467.5431309,-7.69772,2172865.517275591,2169897.387877629,,4950.08,-32.37318,2025-08-24T19:28:11.411Z,82.1,3977.27275,2018-12-15T00:00:00.000Z,,2025-11-05T15:01:40.581Z
