symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.277891,8894033662.0,23.0,363836330.0,32079707523.34863,50001786884.67245,0.875563,-68.43526,2018-01-03T00:00:00.000Z,0.00047612,57945.70082,2015-03-05T00:00:00.000Z
weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3609.71,8834109854.0,24.0,57065676.0,2443926.225289934,2443926.233030495,5296.78,-31.75807,2025-08-24T19:25:19.771Z,1505.24,140.13691,2025-04-09T03:45:31.391Z
leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.52,8775941941.0,25.0,848235.0,922315860.9,985239504.0,10.14,-5.9324,2025-03-10T09:26:43.294Z,0.799859,1091.94154,2019-12-24T15:14:35.376Z
cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,103072.0,7574746652.0,26.0,774599267.0,73506.40761849,73506.40761849,125954.0,-18.02541,2025-10-06T18:58:50.734Z,57439.0,79.75687,2024-09-12T14:07:41.775Z
zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,459.94,7514095959.0,27.0,1611281955.0,16370037.6655448,16371462.6655448,3191.93,-85.67445,2016-10-29T00:00:00.000Z,16.08,2743.64311,2024-07-05T04:22:29.321Z
sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.04,7478248790.0,28.0,2107254209.0,3681325480.198332,10000000000.0,5.35,-61.97847,2025-01-04T22:56:18.063Z,0.364846,457.17897,2023-10-19T10:40:30.078Z
hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.172969,7337619058.0,29.0,450641975.0,42475229924.35708,50000000000.0,0.569229,-69.69572,2021-09-15T10:40:28.318Z,0.00986111,1649.30333,2020-01-02T17:30:24.852Z
weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3345.54,7245779361.0,30.0,552521364.0,2172865.517275591,2169897.387877629,4950.08,-32.71573,2025-08-24T19:28:11.411Z,82.1,3956.62015,2018-12-15T00:00:00.000Z
avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,16.62,7079010786.0,31.0,825288879.0,426968854.6882021,460304772.862318,144.96,-88.5864,2021-11-21T14:18:56.538Z,2.8,490.6786,2020-12-31T13:15:21.540Z
ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,87.0,6639626343.0,32.0,970356156.0,76480364.48347135,76487208.23347135,410.26,-78.89567,2021-05-10T03:13:07.904Z,1.15,7436.5067,2015-01-14T00:00:00.000Z
xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,359.15,6597365482.0,33.0,256019551.0,18446744.07370955,18446744.07370955,542.33,-34.28522,2018-01-09T00:00:00.000Z,0.216177,164759.60895,2015-01-14T00:00:00.000Z
shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,9.06e-06,5317366749.0,34.0,290149805.0,589245419696499.1,589500805164440.1,8.616e-05,-89.55191,2021-10-28T03:54:55.568Z,5.6366e-11,15970322.45311,2020-11-28T11:26:25.838Z
susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.2,4895950839.0,35.0,237902906.0,4076719417.649299,4074638103.324744,1.29,-6.95674,2025-01-29T17:52:32.991Z,1.012,18.65541,2024-04-03T14:23:03.162Z
ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.93,4784458713.0,36.0,236455454.0,2486417356.538483,5144966832.87507,8.25,-76.73414,2024-06-15T00:36:51.509Z,0.519364,269.7356,2021-09-21T00:33:11.092Z
dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999852,4638686224.0,37.0,133822613.0,4641948372.989686,4623609567.742404,1.22,-17.90887,2020-03-13T03:02:50.373Z,0.88196,13.45572,2023-03-11T07:50:50.514Z
cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.122905,4434401604.0,38.0,64229331.0,36099552161.95875,98132921410.34396,0.965407,-87.34555,2021-11-24T15:53:54.855Z,0.0121196,908.0118,2019-02-08T00:00:00.000Z
dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2.6,4231986023.0,39.0,370342709.0,1633692051.831327,1633693471.467939,54.98,-95.29166,2021-11-04T14:10:09.301Z,2.13,21.58672,2025-10-10T21:27:58.296Z
m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,2.47,4202895032.0,40.0,17122857.0,1698419623.582572,5298419623.141848,2.96,-16.51242,2025-09-18T07:27:06.144Z,0.04746135,5104.67312,2025-07-04T03:56:17.448Z
mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.27,4109937666.0,41.0,238362044.0,3252944055.73684,6219316794.89,2.86,-55.75133,2025-10-09T01:04:46.659Z,0.307978,310.20022,2023-10-18T02:50:46.942Z
usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.999828,3795080794.0,42.0,554496297.0,3794573476.775116,3794096391.630637,1.052,-4.93979,2025-01-23T22:34:53.341Z,0.975737,2.49374,2025-02-28T01:35:58.101Z
susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.074,3769748591.0,43.0,17571838.0,3508925525.095744,3502044655.074096,1.11,-2.79428,2025-10-10T21:52:27.019Z,0.961716,11.69519,2025-01-04T01:21:08.460Z
tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,393.0,3761180894.0,44.0,706642267.0,9597491.0,21000000.0,757.6,-48.40608,2024-03-07T18:45:36.466Z,30.83,1167.85098,2023-05-14T08:57:53.732Z
uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.29,3327925532.0,45.0,367420225.0,629892750.2713912,1000000000.0,44.92,-88.2573,2021-05-03T05:25:04.822Z,1.03,412.01142,2020-09-17T01:20:38.214Z
wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.117471,3194817023.0,46.0,261690814.0,27251908189.209793,100000000000.0,0.331336,-64.67794,2025-09-01T12:20:09.597Z,0.104606,11.88171,2025-10-10T21:22:29.880Z
aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,197.23,3001880025.0,47.0,533817253.0,15262241.46571046,16000000.0,661.69,-70.389,2021-05-18T21:19:59.514Z,26.02,652.91825,2020-11-05T09:20:11.928Z
usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999046,2965342570.0,48.0,590391152.0,2965826290.319785,2965826290.319785,1.025,-2.50702,2025-05-12T12:36:39.412Z,0.989633,0.96002,2025-10-01T08:51:32.103Z
bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.14,2895978724.0,49.0,74462565.0,699992035.9787906,919992035.9787906,8.45,-50.9929,2024-12-27T11:41:24.992Z,0.0142795,28901.424,2020-06-25T04:17:05.895Z
buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2829292849.0,50.0,0.0,2829292848.910449,2829292848.910449,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z
pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Logo_%282%29.png?1696530039,1.0,2797657572.0,51.0,419538625.0,2795228417.495495,2795228417.495495,1.021,-1.91041,2023-10-23T22:44:57.056Z,0.959426,4.35791,2024-12-05T22:31:13.430Z
icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.99,2691745613.0,52.0,954971000.0,539523205.3500742,539523205.3500742,700.65,-99.28876,2021-05-10T16:05:53.653Z,2.23,123.3085,2025-10-10T21:26:36.019Z
okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,123.47,2591573345.0,53.0,161489803.0,21000000.0,21000000.0,255.5,-51.78575,2025-08-22T01:50:26.131Z,0.580608,21117.16422,2019-01-14T00:00:00.000Z
c1usd,Currency One USD,https://coin-images.coingecko.com/coins/images/69700/large/C1USD.webp?1759327591,1.002,2554602517.0,54.0,1642583.0,2550000000.0,2550000000.0,1.033,-3.02813,2025-10-12T19:41:09.216Z,0.963687,3.95547,2025-11-03T08:44:26.287Z
ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.32711,2425569678.0,55.0,339427233.0,7423437500.0,15000000000.0,1.52,-78.50717,2024-04-11T13:15:15.057Z,0.195078,67.21372,2024-09-06T21:04:48.253Z
near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.89,2412217614.0,56.0,340733617.0,1279186140.0,1279186115.0,20.44,-90.80436,2022-01-16T22:09:45.873Z,0.526762,256.78621,2020-11-04T16:09:15.137Z
pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,5.68e-06,2387617593.0,57.0,660195055.0,420690000000000.0,420690000000000.0,2.803e-05,-79.8338,2024-12-09T16:30:35.828Z,5.5142e-08,10150.22394,2023-04-18T02:14:41.591Z
etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,14.47,2224906929.0,58.0,137787335.0,154204592.2528653,154204592.2528653,167.09,-91.38525,2021-05-06T18:34:22.133Z,0.615038,2240.34039,2016-07-25T00:00:00.000Z
jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,196.56,2210047686.0,59.0,65139634.0,11237976.24620779,11237976.24620779,339.52,-42.31831,2025-01-19T11:21:54.080Z,0.57898,33725.21219,2023-09-12T10:21:17.665Z
usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.999285,2107609888.0,60.0,18593132.0,2109117713.255883,2109117713.255883,1.075,-6.95238,2025-05-08T21:25:42.071Z,0.943422,5.98363,2025-07-08T10:16:34.749Z
aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,1.037,2080346070.0,61.0,1440145706.0,2017700000.0,8000000000.0,2.41,-57.02604,2025-09-24T11:18:14.634Z,0.099713,938.10375,2025-09-17T12:05:36.771Z
xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,3973.29,2075536021.0,62.0,312181247.0,522089.3,522089.3,4392.88,-9.74324,2025-10-17T05:01:31.881Z,1447.84,173.84715,2020-03-19T13:45:41.821Z
jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,5.02,2059325100.0,63.0,107413714.0,410436764.55508,410436764.55508,5.99,-16.1991,2025-10-06T17:35:59.480Z,0.146839,3317.08808,2023-11-24T05:55:06.706Z
weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3353.67,2019085047.0,64.0,151297389.0,604999.9999588211,604999.9999588211,4955.78,-32.6704,2025-08-24T19:14:00.505Z,1394.32,139.30742,2025-04-09T01:32:41.942Z
ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.609281,1924780968.0,66.0,185505118.0,3159107529.0,10000000000.0,2.14,-71.64548,2024-12-16T00:36:00.777Z,0.082171,638.4979,2024-01-18T12:14:30.524Z
sol,Wrapped SOL,https://coin-images.coingecko.com/coins/images/21629/large/solana.jpg?1696520989,158.73,1923952296.0,65.0,1310326787.0,12146334.49281796,12146334.49281796,290.3,-45.51634,2025-01-19T11:20:39.814Z,8.11,1850.13175,2022-12-29T20:45:41.226Z
apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140,2.63,1893136933.0,67.0,419120153.0,720094788.8960973,1182942606.180289,19.92,-86.82299,2023-01-26T14:25:17.390Z,2.41,9.07445,2025-11-04T21:45:11.523Z
pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.222123,1838637106.0,68.0,62549691.0,8296250420.700642,12763462185.69329,2.99,-92.5957,2025-02-26T16:41:03.732Z,0.172081,28.55078,2025-10-10T21:25:41.582Z
usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/76357aa8-4ef7-446c-bad3-a3f944eeec7a.jpeg?1758277468,1.0,1835254061.0,69.0,2195884.0,1832012442.776182,1832012442.776182,1.057,-5.22379,2025-09-20T13:20:33.315Z,0.900502,11.24902,2025-07-17T08:05:52.672Z
pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/pol.png?1759114181,0.165217,1731474875.0,70.0,114172735.0,10529931013.23242,10529931013.23242,1.29,-87.23441,2024-03-13T18:55:06.692Z,0.128391,28.01876,2025-10-10T21:27:23.781Z
htx,HTX DAO,https://coin-images.coingecko.com/coins/images/35491/large/Frame_1321318576.png?1708908626,1.77e-06,1646684881.0,71.0,23435025.0,930149437822426.1,930149437822426.1,3.75e-06,-52.82964,2024-12-04T00:16:20.770Z,8.00816e-07,120.97389,2024-08-05T13:31:33.427Z
wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.72413,1638514900.0,72.0,231348616.0,2270493867.564782,10000000000.0,11.74,-93.85335,2024-03-10T00:10:42.330Z,0.583741,23.62578,2025-04-07T07:06:11.379Z
kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,12.18,1578085367.0,73.0,11140835.0,129728856.7355671,142228856.7355671,28.83,-58.07532,2021-12-01T15:09:35.541Z,0.342863,3425.26681,2019-02-07T00:00:00.000Z
reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3840.43,1471885745.0,74.0,13113800.0,384069.6009275116,384069.6009275116,5618.08,-31.74335,2025-08-24T19:25:20.811Z,887.26,332.19571,2022-06-18T20:55:45.957Z
trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,7.3,1460648084.0,75.0,1198819788.0,199999973.087224,1000000000.0,73.43,-90.07679,2025-01-19T11:50:34.806Z,4.29,69.82589,2025-01-18T03:40:29.231Z
arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.262522,1443957324.0,76.0,315853438.0,5509691911.0,10000000000.0,2.39,-89.0788,2024-01-12T12:29:59.231Z,0.209573,24.56149,2025-10-10T21:25:12.404Z
pump,Pump.fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,0.00408628,1435142474.0,77.0,396604388.0,354000000000.0,999989340833.3623,0.00881908,-54.10839,2025-09-14T16:42:40.248Z,0.00228323,77.25885,2025-07-29T11:15:43.983Z
bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,171.55,1428221466.0,78.0,6938245.0,8341610.309099966,8341610.309099966,297.96,-42.52165,2025-01-19T11:30:53.744Z,100.21,70.90047,2025-04-07T06:56:20.488Z
khype,Kinetiq Staked HYPE,https://coin-images.coingecko.com/coins/images/67388/large/khype.png?1752632397,41.12,1418591982.0,79.0,56426413.0,34578614.41031568,34578614.41031568,59.44,-30.77708,2025-09-18T01:45:16.367Z,29.77,38.22916,2025-10-10T21:25:06.289Z
algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.159494,1399194469.0,80.0,106008967.0,8791000424.007185,8791007861.957575,3.56,-95.56407,2019-06-20T14:51:19.480Z,0.087513,80.50975,2023-09-11T19:42:08.247Z
gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,11.33,1330049047.0,81.0,13260933.0,117344473.53114802,300000000.0,25.94,-56.40855,2025-01-25T03:07:37.823Z,0.25754,4290.52573,2020-03-13T02:18:02.481Z
paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,3969.22,1322876866.0,82.0,280329768.0,332951.91,332951.91,4448.72,-10.59883,2025-10-16T23:50:09.513Z,1399.64,184.15897,2019-11-18T03:09:35.959Z
bfusd,BFUSD,https://coin-images.coingecko.com/coins/images/68227/large/bfusd.png?1755132827,0.999734,1319648505.0,83.0,69043636.0,1320000000.0,1320000000.0,1.007,-0.71555,2025-10-10T21:40:40.468Z,0.997772,0.19519,2025-09-23T22:06:02.878Z
syrupusdt,syrupUSDT,https://coin-images.coingecko.com/coins/images/69514/large/syrupUSDT.png?1761824990,1.1,1315435998.0,84.0,1633333.0,1194903482.427617,1194903482.427617,1.11,-0.48015,2025-10-10T21:40:27.453Z,1.093,0.68511,2025-09-30T09:40:48.362Z
dash,Dash,https://coin-images.coingecko.com/coins/images/19/large/dash-logo.png?1696501423,103.77,1295305039.0,85.0,1235537296.0,12473042.60861232,12473339.9362455,1493.59,-93.07707,2017-12-20T00:00:00.000Z,0.213899,48240.69357,2014-02-14T00:00:00.000Z
vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.01486128,1274107913.0,86.0,48070475.0,85985041177.0,85985041177.0,0.280991,-94.7471,2021-04-19T01:08:21.675Z,0.00191713,669.90918,2020-03-13T02:29:59.652Z
oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,3512.4,1260358740.0,87.0,1950021.0,358880.6839472,358880.6839472,5206.8,-32.45111,2025-08-24T19:14:00.394Z,1459.73,140.94452,2025-04-09T01:32:44.161Z
atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,2.63,1252054903.0,88.0,119476460.0,476626284.881287,476627706.016749,44.45,-94.10738,2022-01-17T00:34:41.497Z,1.16,125.77774,2020-03-13T02:27:44.591Z
rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3501.15,1249298705.0,89.0,783448.0,357300.1592007516,357300.1592007516,5190.42,-32.6356,2025-08-24T19:13:49.359Z,1029.61,239.59484,2025-09-02T07:53:14.684Z
wbnb,Wrapped BNB,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,956.47,1246368631.0,90.0,1296991303.0,1304423.621317734,1304423.621317734,1372.03,-30.28802,2025-10-13T08:47:24.374Z,23.6,3952.31229,2020-09-24T13:48:40.532Z
lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,102961.0,1245926564.0,91.0,23247158.0,12118.42649873,12118.42649873,125812.0,-18.27825,2025-10-06T19:07:38.572Z,52119.0,97.27075,2024-09-06T21:01:52.094Z
kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.04606469,1233438966.0,93.0,75447582.0,26777148610.50726,26886079718.71985,0.207411,-77.9015,2024-08-01T00:40:47.164Z,0.00017105,26696.16749,2022-05-26T14:42:59.316Z
fbtc,Function FBTC,https://coin-images.coingecko.com/coins/images/39182/large/Function_Token_%282%29.png?1760254065,102742.0,1230067956.0,92.0,2059420.0,11973.49134378,11973.49134378,127954.0,-19.6559,2025-10-06T12:50:40.428Z,11469.83,796.29572,2024-09-10T18:18:02.102Z
hash,Provenance Blockchain,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,0.02399794,1217914465.0,94.0,12408.46,50750798054.0,100000000000.0,0.060147,-60.10115,2025-09-14T16:52:41.627Z,0.01378736,74.05753,2025-06-04T11:15:56.153Z
syrupusdc,syrupUSDC,https://coin-images.coingecko.com/coins/images/54658/large/syrupUSDC.png?1761824955,1.13,1208307498.0,95.0,32858702.0,1065328568.669043,1065328568.669043,1.14,-0.16102,2025-08-17T23:46:01.758Z,1.055,7.58276,2025-08-01T06:27:19.933Z
lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,3596.54,1195927205.0,96.0,290902.0,332827.0148136274,332827.0148136274,5334.09,-32.5917,2025-08-24T19:17:38.271Z,1384.61,159.68526,2023-03-10T11:26:12.210Z
sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.052123,1189218306.0,97.0,23681977.0,22871235936.52614,23462665147.36596,0.100535,-48.28133,2024-12-04T10:13:57.264Z,0.03582727,45.12824,2025-02-03T05:01:48.626Z
